Ano,Dia Juliano,Hora,Temp. Interna (ºC),Pressão Atmosfé-rica    (hPa),Temp. do Ar 2m     (ºC),Umidade Relativa do Ar 2m (%),Temp. Máxima do Ar  2m (ºC),Temp. Mínima do Ar  2m (ºC),Velocidade do Vento 10m      (m/s),Direção do Vento 10m (graus),Velocidade do Vento Máxima (m/s)       ,Direção da Velocidade do  Vento Máxima (graus),Precipitação Pluviométrica (mm),Radiação Solar Total (kJ/m2),Nivel de água    (m),Temp. do  Solo 10cm (ºC),Temp. do Solo 20 cm (ºC),Temp. do Solo 50 cm (ºC),Umidade do Solo (%),Fluxo de calor no Solo (kJ/m2),Bateria (volts),Corrente do Painel Solar  (mA),Código II,,,,,,,,,,,,,
2013,91,100,27.94,1010.2,28.72,76.7,29.01,28.63,4.093,105.4,6.626,97.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99.8,201,,,,,,,,,,,,,
2013,91,200,27.44,1009.2,28.34,76.5,28.74,28.27,3.742,109.2,5.518,115.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.2,201,,,,,,,,,,,,,
2013,91,300,26.84,1009,28.26,75.5,28.34,27.93,3.332,112.7,4.877,110.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99.5,201,,,,,,,,,,,,,
2013,91,400,26.69,1008.9,28.06,77.2,28.31,27.96,3.517,116.6,5.278,125,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99.9,201,,,,,,,,,,,,,
2013,91,500,26.82,1009.1,28.16,75,28.35,28,3.414,123.7,5.306,117.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.6,201,,,,,,,,,,,,,
2013,91,600,26.33,1009.5,27.66,77.1,28.15,27.53,2.608,134.7,4.066,131.8,0,14.223,0,-6999,-6999,-6999,-6999,-6999,-0.003,-86.4,201,,,,,,,,,,,,,
2013,91,700,28.14,1009.8,28.76,76.4,28.76,27.27,1.586,172.2,2.256,160,0,438.98,0,-6999,-6999,-6999,-6999,-6999,-0.003,-67.25,201,,,,,,,,,,,,,
2013,91,800,30.51,1010,28.76,76.4,29.6,28.36,2.575,167.2,4.592,140.5,0,784.02,0,-6999,-6999,-6999,-6999,-6999,-0.003,27.17,201,,,,,,,,,,,,,
2013,91,900,34.11,1010.1,30.69,70.8,30.69,28.95,3.748,162.2,5.35,147.8,0,2077.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,80.6,201,,,,,,,,,,,,,
2013,91,1000,35.78,1009.9,31.01,65.65,31.76,30.05,3.725,163.1,5.568,150.6,0,2212.9,0,-6999,-6999,-6999,-6999,-6999,-0.003,107.2,201,,,,,,,,,,,,,
2013,91,1100,37.22,1009.1,32.47,60.68,33.19,30.9,3.894,152.4,5.794,95.8,0,3333.6,0,-6999,-6999,-6999,-6999,-6999,-0.003,163.7,201,,,,,,,,,,,,,
2013,91,1200,36.8,1008.1,32.54,57.79,33.52,31.65,4.659,115.2,6.814,118.8,0,2645.9,0,-6999,-6999,-6999,-6999,-6999,-0.003,98.8,201,,,,,,,,,,,,,
2013,91,1300,38.43,1007.5,33.04,53.71,33.36,32.31,5.696,114,7.19,121.2,0,3500,0,-6999,-6999,-6999,-6999,-6999,-0.003,90.4,201,,,,,,,,,,,,,
2013,91,1400,39.04,1007.1,32.62,54.85,33.18,32.3,6.454,113.9,8.06,111.1,0,3122.5,0,-6999,-6999,-6999,-6999,-6999,-0.003,109.9,201,,,,,,,,,,,,,
2013,91,1500,39.26,1006.8,31.79,61.65,32.69,31.5,6.111,97.8,7.67,85.8,0,2469.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,-82.7,201,,,,,,,,,,,,,
2013,91,1600,38.96,1006.8,31.2,62.75,32.11,31.13,5.484,90.7,6.593,97.7,0,1641.2,0,-6999,-6999,-6999,-6999,-6999,-0.003,-79,201,,,,,,,,,,,,,
2013,91,1700,36.34,1007,30.13,66.85,31.31,30.06,5.039,86.5,6.638,83.6,0,742.15,0,-6999,-6999,-6999,-6999,-6999,-0.003,4.512,201,,,,,,,,,,,,,
2013,91,1800,31.05,1007.6,29.15,72,30.1,29.15,4.015,89.3,5.062,81.4,0,85.611,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.2,201,,,,,,,,,,,,,
2013,91,1900,28.78,1008.2,28.7,78.2,29.16,28.7,4.558,87.9,5.699,83.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-95.8,201,,,,,,,,,,,,,
2013,91,2000,27.98,1008.8,28.59,75.8,28.74,28.58,4.235,95,5.982,96.5,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-96.3,201,,,,,,,,,,,,,
2013,91,2100,27.52,1009.4,28.47,76.2,28.68,28.44,3.425,105.4,4.504,82.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-95.4,201,,,,,,,,,,,,,
2013,91,2200,27.13,1009.8,28.31,75,28.5,28.2,3.211,104.5,3.976,104.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-95.3,201,,,,,,,,,,,,,
2013,91,2300,26.98,1009.8,28.34,75.4,28.43,28.19,3.132,105.8,4.13,103,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-102.2,201,,,,,,,,,,,,,
2013,91,2400,26.9,1009.5,28.11,77.2,28.44,28.11,3.072,107.2,4.303,100.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.1,201,,,,,,,,,,,,,
2013,92,100,26.73,1008.8,28.08,76.4,28.24,28.04,3.184,113.9,4.344,92.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.1,201,,,,,,,,,,,,,
2013,92,200,26.6,1008.2,28.08,76.8,28.14,27.86,2.852,109,3.9,100.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99.2,201,,,,,,,,,,,,,
2013,92,300,26.81,1007.8,28.14,77.7,28.28,28.06,2.485,107.9,3.196,126.8,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-103,201,,,,,,,,,,,,,
2013,92,400,26.64,1007.9,28,77.3,28.13,27.66,2.261,105.4,3.406,100.1,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99,201,,,,,,,,,,,,,
2013,92,500,26.47,1007.7,27.78,78.8,28.02,27.61,2.424,112.8,3.768,121.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.4,201,,,,,,,,,,,,,
2013,92,600,26.65,1008.3,28.19,75.6,28.25,27.74,2.962,105.6,4.343,99.7,0,8.8117,0,-6999,-6999,-6999,-6999,-6999,-0.003,-91.2,201,,,,,,,,,,,,,
2013,92,700,27.75,1008.9,28.75,75.2,28.75,28.18,2.61,102.3,3.902,96.2,0,197.19,0,-6999,-6999,-6999,-6999,-6999,-0.003,-29.81,201,,,,,,,,,,,,,
2013,92,800,29.92,1009.1,29.16,73.6,30.05,28.37,3.608,100.6,5.706,70.7,0,772.81,0,-6999,-6999,-6999,-6999,-6999,-0.003,38.59,201,,,,,,,,,,,,,
2013,92,900,32.7,1009.4,31.21,63.29,31.38,28.68,4.949,97.2,7.36,108.9,0,1607.8,0,-6999,-6999,-6999,-6999,-6999,-0.003,136.8,201,,,,,,,,,,,,,
2013,92,1000,33.92,1010.5,27.04,75,31.89,27.04,5.008,129,8.33,179.8,0,1841.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,-70.4,201,,,,,,,,,,,,,
2013,92,1100,26.71,1010.1,24.94,89.3,26.31,23.84,4.173,182.6,8.14,150.8,6.8,718.92,0,-6999,-6999,-6999,-6999,-6999,-0.003,179.9,201,,,,,,,,,,,,,
2013,92,1200,33.57,1008.9,28.61,78.7,29.02,25.15,1.762,176.2,3.81,119.6,0,2194.5,0,-6999,-6999,-6999,-6999,-6999,-0.003,62.79,201,,,,,,,,,,,,,
2013,92,1300,34.41,1008,29.82,75.5,29.91,28.61,3.44,100.2,5.441,100.1,0,1866.9,0,-6999,-6999,-6999,-6999,-6999,-0.003,18.46,201,,,,,,,,,,,,,
2013,92,1400,34.92,1007.4,30.4,69.75,30.78,29.56,4.497,106.3,6.425,95.3,0.2,1807.5,0,-6999,-6999,-6999,-6999,-6999,-0.003,104.1,201,,,,,,,,,,,,,
2013,92,1500,35.23,1007,30.67,69.31,31.65,29.76,5.103,99.1,7.13,111.9,0,1867.4,0,-6999,-6999,-6999,-6999,-6999,-0.003,-20.51,201,,,,,,,,,,,,,
2013,92,1600,36.94,1007.1,30.71,71.1,31.12,30.06,5.063,104.3,6.57,91.2,0,1604.2,0,-6999,-6999,-6999,-6999,-6999,-0.003,-83.4,201,,,,,,,,,,,,,
2013,92,1700,34.33,1007.2,29.25,75.9,30.74,29.25,4.659,99.6,5.749,88.9,0,630.14,0,-6999,-6999,-6999,-6999,-6999,-0.003,-29.13,201,,,,,,,,,,,,,
2013,92,1800,29.58,1007.4,28.58,76.4,29.19,28.51,3.958,85.9,4.879,75.8,0,49.683,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.8,201,,,,,,,,,,,,,
2013,92,1900,27.92,1007.9,28.38,78.9,28.63,28.28,3.322,82.2,4.734,78.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98,201,,,,,,,,,,,,,
2013,92,2000,27.38,1008.2,28.29,76.5,28.55,28.14,3.664,82,5.023,73.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.6,201,,,,,,,,,,,,,
2013,92,2100,26.74,1008.8,28.05,79.4,28.36,27.83,2.66,88.3,3.862,89.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-101.5,201,,,,,,,,,,,,,
2013,92,2200,26.65,1009.1,27.97,77.7,28.19,27.94,2.816,88.8,3.782,107.1,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.5,201,,,,,,,,,,,,,
2013,92,2300,26.38,1009.4,27.84,79.6,28.07,27.72,2.605,86.7,3.262,88.3,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-95.6,201,,,,,,,,,,,,,
2013,92,2400,25.89,1009,27.34,82.5,27.8,27.26,1.964,93.7,2.936,86.5,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.1,201,,,,,,,,,,,,,
2013,93,100,25.21,1008.5,25.95,89.2,27.31,25.95,1.358,111.6,2.219,111.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.3,201,,,,,,,,,,,,,
2013,93,200,24.47,1008.2,26.1,92,26.25,25.82,0.888,170,1.235,145.1,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-101.6,201,,,,,,,,,,,,,
2013,93,300,24.9,1008.1,26.17,90.7,26.44,25.9,0.821,191,1.358,241.5,0,0.23659,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99,201,,,,,,,,,,,,,
2013,93,400,24.85,1008.1,26.15,90.5,26.29,26.07,1.053,200.7,1.363,232.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-103.6,201,,,,,,,,,,,,,
2013,93,500,24.79,1008.1,25.93,91.4,26.27,25.93,0.933,225.7,1.388,223.2,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-101.4,201,,,,,,,,,,,,,
2013,93,600,24.04,1008.5,25.36,93.9,25.88,25.26,1.136,212.2,1.518,233.3,0,13.545,0,-6999,-6999,-6999,-6999,-6999,-0.003,-83.7,201,,,,,,,,,,,,,
2013,93,700,27.13,1009,27.82,81.8,27.83,25.39,1.242,209.3,2.7,233,0,491.77,0,-6999,-6999,-6999,-6999,-6999,-0.006,-28.42,201,,,,,,,,,,,,,
2013,93,800,32.44,1009.4,28.84,77.6,29.78,27.76,1.721,166.2,2.868,152.8,0,1194.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,-46.46,201,,,,,,,,,,,,,
2013,93,900,33.4,1009.7,28.98,75.2,30.33,28.75,2.466,142.8,4.11,128.6,0,1306.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,44.56,201,,,,,,,,,,,,,
2013,93,1000,33.62,1009.5,31.24,69.14,31.24,28.48,3.906,123.3,5.404,107.6,0,2083.6,0,-6999,-6999,-6999,-6999,-6999,-0.003,287.1,201,,,,,,,,,,,,,
2013,93,1100,35.93,1008.8,30.75,66.54,32.18,30.68,4.795,107.1,6.481,96.8,0,3051.8,0,-6999,-6999,-6999,-6999,-6999,-0.003,36.35,201,,,,,,,,,,,,,
2013,93,1200,36.16,1008.2,31.69,62.51,32.26,30.67,4.847,125,6.822,91.3,0,2884.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,1.887,201,,,,,,,,,,,,,
2013,93,1300,38.08,1007,31.95,60.45,32.54,31.42,4.823,114.3,7.06,86.6,0,3518.5,0,-6999,-6999,-6999,-6999,-6999,-0.003,86.7,201,,,,,,,,,,,,,
2013,93,1400,39.22,1006.2,32.1,60.41,32.57,31.68,4.989,104.3,6.729,81.7,0,3056.9,0,-6999,-6999,-6999,-6999,-6999,-0.003,74.6,201,,,,,,,,,,,,,
2013,93,1500,39.98,1006,31.39,60.46,32.46,31.39,4.854,108,6.936,81.9,0,2472.6,0,-6999,-6999,-6999,-6999,-6999,-0.003,161.3,201,,,,,,,,,,,,,
2013,93,1600,39.2,1005.8,30.99,62.68,31.9,30.85,4.709,95.4,6.408,76.4,0,1620.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,13.78,201,,,,,,,,,,,,,
2013,93,1700,36.43,1006.3,29.58,70.3,31.03,29.58,4.583,92.4,6.064,103.7,0,713.22,0,-6999,-6999,-6999,-6999,-6999,-0.003,47.67,201,,,,,,,,,,,,,
2013,93,1800,30.75,1006.6,28.71,75.2,29.61,28.71,3.973,90.6,5.258,93,0,83.069,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.3,201,,,,,,,,,,,,,
2013,93,1900,28.37,1006.9,28.48,77.1,28.68,28.46,3.792,89,5.153,92.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99.5,201,,,,,,,,,,,,,
2013,93,2000,27.58,1007.4,28.39,79.3,28.5,28.31,3.436,91.1,4.584,90.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.1,201,,,,,,,,,,,,,
2013,93,2100,27.19,1008,28.31,76.5,28.39,28.2,3.221,90.2,4.421,99.1,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99.4,201,,,,,,,,,,,,,
2013,93,2200,26.91,1008.3,28.21,80.2,28.36,28.07,2.767,85.5,3.848,97.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-103.4,201,,,,,,,,,,,,,
2013,93,2300,26.88,1008.4,27.96,81.6,28.26,27.96,2.566,91.4,3.877,93.2,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-108.7,201,,,,,,,,,,,,,
2013,93,2400,26.92,1007.9,28.21,81.1,28.32,28.06,3.054,89.2,4.078,85.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-105.6,201,,,,,,,,,,,,,
2013,94,100,26.64,1007,28.06,81.3,28.2,27.65,2.468,85.5,3.787,96.8,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-102.3,201,,,,,,,,,,,,,
2013,94,200,26.43,1006.7,27.82,82.1,28.12,27.67,2.784,91.7,3.863,89,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.3,201,,,,,,,,,,,,,
2013,94,300,26.01,1006.6,27.34,84.1,27.74,27.34,1.84,82.1,2.62,84.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.7,201,,,,,,,,,,,,,
2013,94,400,25.34,1006.7,26.72,88.6,27.37,26.39,0.736,119.9,1.763,92.7,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.6,201,,,,,,,,,,,,,
2013,94,500,25.41,1007.2,26.52,93,27.13,26.45,0.86,161.4,1.886,101.2,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-102.5,201,,,,,,,,,,,,,
2013,94,600,25.17,1007.9,26.2,95.1,26.51,26.16,0.92,217.8,1.603,234.1,0,9.6109,0,-6999,-6999,-6999,-6999,-6999,-0.003,-95.1,201,,,,,,,,,,,,,
2013,94,700,26.53,1008.4,27.48,89.4,27.48,26.21,0.898,219.2,2.352,242.7,1.4,450.05,0,-6999,-6999,-6999,-6999,-6999,-0.003,1.56,201,,,,,,,,,,,,,
2013,94,800,30.62,1008.9,29.25,78.3,29.28,27.72,1.215,138.7,3.058,69.19,0,820.49,0,-6999,-6999,-6999,-6999,-6999,-0.003,104.2,201,,,,,,,,,,,,,
2013,94,900,34.25,1009.5,31.09,70.5,31.09,29.13,3.91,82.7,5.007,112.5,0,2102.8,0,-6999,-6999,-6999,-6999,-6999,-0.003,97.6,201,,,,,,,,,,,,,
2013,94,1000,35.02,1009.3,28.45,80.7,31.57,28.45,4.136,96.8,5.769,97.2,0,1939.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,148.3,201,,,,,,,,,,,,,
2013,94,1100,29.18,1009.2,26.23,93.5,28.32,25.79,3.67,173,5.399,153.2,3.4,710.58,0,-6999,-6999,-6999,-6999,-6999,-0.003,98,201,,,,,,,,,,,,,
2013,94,1200,27.95,1009,26.41,92.5,26.58,25.92,2.983,154,6.203,111.8,1.6,1028.1,0,-6999,-6999,-6999,-6999,-6999,-0.003,-16.26,201,,,,,,,,,,,,,
2013,94,1300,30.8,1008.1,28.05,83.5,28.06,26.46,1.807,101.8,2.836,123.3,0,1446,0,-6999,-6999,-6999,-6999,-6999,-0.003,35.55,201,,,,,,,,,,,,,
2013,94,1400,29.79,1007.5,26.94,93,28.43,26.48,3.033,72.6,5.048,93.9,0.4,1043.5,0,-6999,-6999,-6999,-6999,-6999,-0.003,-23.64,201,,,,,,,,,,,,,
2013,94,1500,30.83,1006.9,28.26,83.8,28.26,27,1.409,23.4,2.615,14.65,0,912.68,0,-6999,-6999,-6999,-6999,-6999,-0.003,43.51,201,,,,,,,,,,,,,
2013,94,1600,33.33,1006.3,29.16,77.3,29.18,28.24,1.793,34.62,2.763,70.3,0,1071.7,0,-6999,-6999,-6999,-6999,-6999,-0.003,77.3,201,,,,,,,,,,,,,
2013,94,1700,31.44,1006.5,28.21,82.2,29.59,28.21,2.031,31.7,3.828,44.43,0,458.11,0,-6999,-6999,-6999,-6999,-6999,-0.003,-20.52,201,,,,,,,,,,,,,
2013,94,1800,28.21,1007.1,27.35,89.1,28.2,27.35,1.614,0.089,2.424,31.68,0,65.92,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.7,201,,,,,,,,,,,,,
2013,94,1900,26.43,1007.3,26.76,92,27.37,26.76,1.15,321.7,1.796,356.1,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.6,201,,,,,,,,,,,,,
2013,94,2000,25.45,1007.9,26.49,93.6,26.76,26.25,0.749,292.2,1.307,280.5,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99,201,,,,,,,,,,,,,
2013,94,2100,25.06,1008.7,26.26,93.9,26.56,26.25,1.199,293.7,1.81,281.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-148.8,201,,,,,,,,,,,,,
