Ano;Dia Juliano;Hora;Temp. Interna (ºC);Pressão Atmosfé-rica    (hPa);Temp. do Ar 2m     (ºC);Umidade Relativa do Ar 2m (%);Temp. Máxima do Ar  2m (ºC);Temp. Mínima do Ar  2m (ºC);Velocidade do Vento 10m      (m/s);Direção do Vento 10m (graus);Velocidade do Vento Máxima (m/s)       ;Direção da Velocidade do  Vento Máxima (graus);Precipitação Pluviométrica (mm);Radiação Solar Total (kJ/m2);Nivel de água    (m);Temp. do  Solo 10cm (ºC);Temp. do Solo 20 cm (ºC);Temp. do Solo 50 cm (ºC);Umidade do Solo (%);Fluxo de calor no Solo (kJ/m2);Bateria (volts);Corrente do Painel Solar  (mA);Código II
2013;91;100;25,86;988,92;26,77;82,5;26,94;26,66;3,027;35,82;4,283;21,53;0;0;0;30,53;31,42;31,15;18,61;-46,48;-0,003;-155,9;57
2013;91;200;25,51;988,38;26,32;83,1;26,79;26,32;3,148;34,59;4,401;37,43;0;0;0;30,34;31,26;31,06;18,61;-48,52;-0,003;-157,7;57
2013;91;300;25,02;988,29;26,05;83,8;26,32;26,05;2,579;55,33;3,877;42,71;0;0;0;30,12;31,11;30,97;18,6;-51,79;-0,003;-153,2;57
2013;91;400;24,34;988,45;25,34;87,3;26,13;25,33;1,798;36,99;3,59;33,94;0;0;0;29,92;30,95;30,87;18,6;-54,44;-0,003;-153,1;57
2013;91;500;23,77;988,84;25,15;89;25,4;24,94;1,068;71,3;1,958;24,86;0;0;0;29,72;30,8;30,77;18,59;-57,43;-0,003;-373,5;57
2013;91;600;24,02;989,08;25,39;87,3;25,59;25,12;0,865;136,7;1,954;62,18;0;19,783;0;29,6;30,66;30,68;18,59;-58,07;-0,003;-123,2;57
2013;91;700;27,56;989,52;27,38;76,5;27,38;25,41;2,355;54,08;3,855;105,4;0;631,42;0;29,54;30,55;30,59;18,59;-56,4;-0,003;-59,73;57
2013;91;800;30,96;989,94;28,83;63,56;28,86;27,25;4,634;81,7;6,455;88,9;0;1631,5;0;29,75;30,5;30,51;18,57;-47,96;-0,003;24,57;57
2013;91;900;33,98;990,03;30,49;55,63;30,59;28,69;4,542;99;6,894;96,6;0;2505,1;0;30,28;30,55;30,45;18,56;-30,36;-0,003;46,98;57
2013;91;1000;35,63;989,63;31,11;51,71;31,68;30,15;3,892;99,7;5,716;92,9;0;3170,7;0;31,2;30,77;30,44;18,54;-2,555;-0,003;406,3;57
2013;91;1100;36,51;988,75;32,84;41,39;33,09;30,97;3,743;96;6,368;124,9;0;3597,4;0;32,38;31,17;30,5;18,54;36,01;-0,003;-109;57
2013;91;1200;37,44;987,81;34,4;38,51;34,59;32,58;3,824;114,4;5,696;129,4;0;3721,3;0;33,64;31,75;30,64;18,53;80,2;-0,003;-148,1;57
2013;91;1300;41,19;986,86;34,16;42,53;35,32;33,41;3,617;118,6;5,781;111,5;0;3588,2;0;34,71;32,4;30,88;18,53;112,3;0;-371,6;57
2013;91;1400;43,94;986,28;35,71;37,78;36,01;33,7;3,223;126,8;5,368;139,5;0;3103,9;0;35,3;33,01;31,17;18,52;126,3;0;131;57
2013;91;1500;45,46;985,92;34,89;40,79;36,12;34,67;3,101;139,2;5,924;130,9;0;2351,7;0;35,56;33,51;31,49;18,52;128,2;0;67,57;57
2013;91;1600;43,81;985,74;34,88;38,83;35,51;34,47;3,922;120,4;6,094;111,7;0;1535,7;0;35,41;33,85;31,8;18,51;107,2;0;67,42;57
2013;91;1700;42,24;985,91;34,12;40,07;35,03;34,12;3,144;125,9;4,85;127,5;0;732,34;0;34,91;33,96;32,05;18,5;71,1;0;23,05;57
2013;91;1800;35,27;985,91;31,5;47,23;34,12;31,5;1,612;134,5;3,279;136,3;0;68,841;0;34,27;33,88;32,22;18,5;34,17;0;-170,9;57
2013;91;1900;30,3;986,18;28,96;57,03;31,35;28,96;1,043;139,2;2,061;130,1;0;0;0;33,58;33,68;32,31;18,49;5,149;0;-164,7;57
2013;91;2000;28,69;987,25;28,79;70,8;29,4;27,49;3,174;70;5,481;19,61;0;0;0;32,97;33,4;32,32;18,48;-16,88;-0,003;-160,6;57
2013;91;2100;27,67;988,5;27,4;80,3;28,77;27,39;3,883;43,87;5,433;22,55;0;0;0;32,53;33,11;32,26;18,47;-27;-0,003;-162,8;57
2013;91;2200;26,63;988,39;26,88;83,4;27,38;26,85;3,793;39,52;5,248;49,21;0;0;0;32,16;32,85;32,18;18,46;-33,17;-0,003;-162,8;57
2013;91;2300;25,78;988,61;26,33;85,6;26,88;26,32;3,418;41,23;4,998;42,61;0;0;0;31,8;32,61;32,08;18,46;-39,03;-0,003;-161,1;57
2013;91;2400;25,43;988,52;26,29;84,5;26,35;26,19;2,443;43;3,695;19,18;0;0;0;31,47;32,38;31,96;18,45;-44,51;-0,003;-163,1;57
2013;92;100;25,32;987,91;25,98;85,4;26,32;25,97;2,805;36,54;4,234;29,93;0;0;0;31,2;32,17;31,85;18,45;-47,61;-0,003;-162,5;57
2013;92;200;24,94;987,13;25,9;85,4;25,98;25,86;2,632;31,07;3,72;16,34;0;0;0;30,97;31,97;31,74;18,44;-49,69;-0,003;-168,3;57
2013;92;300;25,01;987,27;25,93;85,4;25,97;25,88;2,067;34,7;3,154;32,54;0;0;0;30,76;31,79;31,62;18,44;-51,54;-0,003;-160,4;57
2013;92;400;24,74;986,96;25,54;87,4;25,99;25,54;1,949;42,97;3,243;44,16;0;0;0;30,6;31,62;31,51;18,44;-51,45;-0,003;-163;57
2013;92;500;23,64;987,13;24,74;91,5;25,56;24,55;0,917;51,67;1,407;28,02;0;0;0;30,39;31,47;31,4;18,43;-53,25;-0,003;-154,1;57
2013;92;600;23,17;987,66;25,06;90,7;25,06;24,44;0,765;69,11;1,302;194,7;0;33,518;0;30,16;31,32;31,3;18,42;-57,74;-0,003;-107,4;57
2013;92;700;25,52;988,42;26,39;84,9;26,39;25,11;0,579;32,11;2,117;22,07;0;272,48;0;30,06;31,16;31,19;18,42;-58,35;-0,003;100,4;57
2013;92;800;27,73;988,8;27,6;78,4;27,6;26,47;2,978;70,3;4,942;99,5;0;621,84;0;30,17;31,07;31,09;18,41;-48,83;-0,003;201,4;57
2013;92;900;30,96;989,14;29,43;71,8;29,55;27,43;3,559;86,5;5,123;37,1;0;1358,6;0;30,39;31,05;31,01;18,4;-37,69;-0,003;-125,3;57
2013;92;1000;35,07;988,97;32,09;52,35;32,55;29,71;4,343;101,9;6,35;110,4;0;2860,6;0;31,09;31,14;30,96;18,39;-16,11;-0,003;-1,236;57
2013;92;1100;36,93;988,24;33,58;48,78;33,58;31,39;4,406;94,7;6,616;80,5;0;3407,5;0;32,27;31,43;30,97;18,38;20,69;0;-150;57
2013;92;1200;38,23;987,28;33,67;49,56;34,23;32,36;4,124;93,7;6,361;82,9;0;3353;0;33,51;31,94;31,06;18,38;63,4;0;-156,3;57
2013;92;1300;40,69;986,33;34,03;46,99;35,12;33,12;3,707;96,8;5,473;77;0;3254,4;0;34,61;32,56;31,25;18,38;97,5;0;-150;57
2013;92;1400;43,99;985,77;35,13;42,37;35,82;33,97;3,486;99,2;5,691;104;0;3263,3;0;35,27;33,16;31,5;18,38;112,1;0;-73,2;57
2013;92;1500;43,54;985,37;34,26;42,14;35,66;34,04;3,207;78,8;5,426;129,2;0;2083,3;0;35,61;33,67;31,8;18,38;118,4;0;-153,4;57
2013;92;1600;43,17;985,38;34,69;41,78;35,35;34,11;2,596;57,63;4,526;85;0;1326,8;0;35,49;34,02;32,09;18,38;98,1;0;-149,2;57
2013;92;1700;41,54;985,46;34,05;40,76;34,92;33,97;2,579;66,82;4,366;88,3;0;718,85;0;35,08;34,16;32,34;18,37;66,38;0;21,98;57
2013;92;1800;34,22;985,29;30,47;64,48;34,04;30,47;3,978;37,04;7,02;18,59;0;71,504;0;34,5;34,11;32,5;18,36;32,75;0;-161,4;57
2013;92;1900;30,13;986,11;29,19;64,35;30,44;29,18;4,749;21,46;6,202;8,84;0;0;0;33,93;33,95;32,6;18,35;8,16;-0,003;-153,4;57
2013;92;2000;28,25;987,02;27,93;70,1;29,17;27,93;4,014;22,99;5,769;26,46;0;0;0;33,34;33,72;32,62;18,35;-12,03;-0,003;-156;57
2013;92;2100;26,9;987,77;26,99;80,4;27,94;26,99;3,403;34,6;4,722;48,71;0;0;0;32,81;33,45;32,58;18,34;-27,07;-0,003;-154,9;57
2013;92;2200;26,16;988,35;26,6;83;26,99;26,6;3,001;33,35;4,418;34,44;0;0;0;32,39;33,18;32,5;18,33;-35,84;-0,003;-159,4;57
2013;92;2300;25,41;988,51;26,19;85,6;26,57;26,12;2,2;29,64;3,073;26,08;0;0;0;32,03;32,92;32,4;18,32;-41,39;-0,003;-152,6;57
2013;92;2400;25,12;988,13;26,02;87,4;26,18;25,94;1,803;37,96;3,018;48,22;0;0;0;31,71;32,68;32,29;18,32;-45,84;-0,003;-151,9;57
2013;93;100;24,69;987,46;25,61;89,4;26,03;25,6;1,901;38,53;2,913;25,16;0;0;0;31,43;32,46;32,17;18,31;-48,64;-0,003;-159,7;57
2013;93;200;24,06;987,31;25,09;91,4;25,61;25,09;1,497;53,7;2,141;37,39;0;0;0;31,16;32,26;32,05;18,31;-51,51;-0,003;-165;57
2013;93;300;24,02;987,34;25,41;90,6;25,42;25,07;1,141;76,8;1,68;85,7;0;0;0;30,92;32,06;31,93;18,3;-54,27;-0,003;-152,9;57
2013;93;400;24,03;987,37;25,09;89,4;25,41;25,08;1,738;46,6;2,763;62,4;0;0;0;30,72;31,87;31,81;18,3;-54,91;-0,003;-155,6;57
2013;93;500;23,09;987,29;23,82;94,3;25,07;23,82;0,876;101,2;1,748;73,9;0;0;0;30,5;31,71;31,69;18,3;-56,72;-0,003;-159,3;57
2013;93;600;22,5;987,76;24,17;93;24,17;23,61;1,011;157,2;1,417;166;0;29,68;0;30,24;31,53;31,58;18,29;-61,17;-0,003;-191,5;57
2013;93;700;25,41;988,44;26,6;84;26,6;24,21;0,758;137,4;1,242;155,1;0;398,57;0;30,13;31,36;31,46;18,29;-61,66;-0,003;19,8;57
2013;93;800;29,22;988,96;27,55;76,1;27,97;26,38;2,844;75,1;4,74;93,4;0;1036,5;0;30,29;31,26;31,35;18,28;-52,16;-0,003;286,4;57
2013;93;900;31,96;989,12;29,54;68,96;29,68;27,33;3,432;90,8;5,053;71,1;0;1565,1;0;30,64;31,25;31,26;18,27;-36,37;-0,003;-107,3;57
2013;93;1000;34,78;989,02;30,44;60,46;31,17;29,21;3,452;98;5,072;117,3;0;2225;0;31,3;31,36;31,21;18,27;-15,1;-0,003;-153,4;57
2013;93;1100;37,05;988,2;32,31;53,56;33,09;30,37;3,668;99,9;6,123;96,5;0;2875,9;0;32,08;31,62;31,22;18,26;10,23;0;-152,7;57
2013;93;1200;37,26;987,27;31,93;52,9;33,19;31,29;3,285;105,5;5,756;104,1;0;1947,7;0;32,99;31,99;31,29;18,26;40,08;0;-111,9;57
2013;93;1300;38,36;986,36;34,31;45,45;34,31;31,96;3,126;104,6;5,508;101,3;0;2197,5;0;33,41;32,38;31,41;18,25;50,41;0;-151,8;57
2013;93;1400;41,29;985,49;34,04;47,09;34,35;32,61;3,386;103,7;5,832;100;0;2454,7;0;33,87;32,72;31,58;18,25;55,97;0;113,7;57
2013;93;1500;43,81;985,23;33,61;46,51;35,04;33,49;2,91;110,6;5,593;93,2;0;2091,8;0;34,28;33,05;31,75;18,25;67,51;0;112,7;57
2013;93;1600;42,39;984,93;34,17;45,51;34,65;33,31;2,339;119;4,383;114,2;0;1238,3;0;34,45;33,35;31,94;18,24;67,41;0;-147,5;57
2013;93;1700;42,31;984,95;33,2;47,76;34,01;33,11;1,592;118,6;2,891;97,5;0;660,61;0;34,25;33,53;32,11;18,24;49,16;0;177,5;57
2013;93;1800;35,26;984,79;30,97;54,99;33,37;30,97;0,927;82,6;1,829;71,5;0;65,768;0;33,79;33,55;32,25;18,24;22,81;-0,003;-152,9;57
2013;93;1900;30,3;984,93;28,02;66,22;30,86;28,02;0,941;121,5;1,363;75,9;0;0;0;33,24;33,43;32,33;18,23;-1,08;0;-156,6;57
2013;93;2000;29,03;986,14;29,11;66,42;29,75;27,99;2,307;85;5,945;51,4;0;0;0;32,75;33,24;32,35;18,23;-18,83;-0,003;-160,2;57
2013;93;2100;27,85;987,16;27,93;71,3;29,08;27,89;2,616;41,87;3,75;50,51;0;0;0;32,38;33,02;32,32;18,22;-27,36;-0,003;-152,1;57
